id;latitud;longitud;nombre;variable;unidades;subcuenca;estado;datoActual;datoTotal;municipioNombre;estadoInt;estadoInternal
536;39.691029264868114;-0.40037599274945884;Serra;0P08AA01MVCR;l/m<sup>2</sup>;5;ESTADO_DESCONOCIDO;0.0;;Serra;0;ESTADO_DESCONOCIDO
425;39.48570105730464;-0.9091093110658892;Siete Aguas;7P12MI01MAMR;°C;4;ESTADO_DESCONOCIDO;12.749;;Siete Aguas;0;ESTADO_DESCONOCIDO
535;39.48570105730464;-0.9091093110658892;Siete Aguas;7P12AA01MVCR;l/m<sup>2</sup>;4;ESTADO_DESCONOCIDO;0.0;;Siete Aguas;0;ESTADO_DESCONOCIDO
154;39.043646672564684;-0.3439825596750656;Simat de la Valldigna;;;4;ESTADO_DESCONOCIDO;;;Simat de la Valldigna;0;ESTADO_DESCONOCIDO
524;39.806981753776924;-0.4150951160550844;Sot de Ferrer;0L01AA01MVCR;l/m<sup>2</sup>;11;ESTADO_DESCONOCIDO;0.0;;Sot de Ferrer;0;ESTADO_DESCONOCIDO
144;39.089835728090044;-0.915237495239719;Teresa de Cofrentes-Caroig;7N02BA01MVCR;l/m<sup>2</sup>;1;ESTADO_DESCONOCIDO;0.0;;Teresa de Cofrentes;0;ESTADO_DESCONOCIDO
78;40.344230274610894;-1.1110231720102608;Teruel;3A03AA01MVCR;l/m<sup>2</sup>;6;ESTADO_DESCONOCIDO;0.2;;Teruel;0;ESTADO_DESCONOCIDO
500;40.344230274610894;-1.1110231720102608;Teruel;3A03DQG1MVVR;m³/s;6;ESTADO_DESCONOCIDO;4.666;;Teruel;0;ESTADO_DESCONOCIDO
175;38.49736831673478;-0.5573443840804562;Tibi;;;2;ESTADO_DESCONOCIDO;;;Tibi;0;ESTADO_DESCONOCIDO
170;38.90113010258942;-2.2670301070930208;Tiriez;7P16AA01MVCR;l/m<sup>2</sup>;1;ESTADO_DESCONOCIDO;0.0;;Tiriez;0;ESTADO_DESCONOCIDO
329;38.90113010258942;-2.2670301070930208;Tiriez;7P16DQG1MVVR;m³/s;1;ESTADO_DESCONOCIDO;0.046;;Tiriez;0;ESTADO_DESCONOCIDO
178;38.60926794373996;-0.4182569028082353;Torre de les Maçanes;8P01AA01MVCR;l/m<sup>2</sup>;2;ESTADO_DESCONOCIDO;0.0;;Torre de les Maçanes;0;ESTADO_DESCONOCIDO
79;40.11578610559512;-1.2583911701675505;Torrealta;3A04AA01MVCR;l/m<sup>2</sup>;6;ESTADO_DESCONOCIDO;0.0;;Torrebaja;0;ESTADO_DESCONOCIDO
298;40.11578610559512;-1.2583911701675505;Torrealta;3A04DQG1MVVR;m³/s;6;ESTADO_DESCONOCIDO;5.384;;Torrebaja;0;ESTADO_DESCONOCIDO
69;40.05599884991373;-0.9890428501319714;Torrijas;2N02BA01MVCR;l/m<sup>2</sup>;0;ESTADO_DESCONOCIDO;0.0;;Torrijas;0;ESTADO_DESCONOCIDO
407;40.05599884991373;-0.9890428501319714;Torrijas;2N02MI01MAMR;°C;0;ESTADO_DESCONOCIDO;6.525;;Torrijas;0;ESTADO_DESCONOCIDO
99;40.35348384364552;-1.8292748810574018;Tragacete;;;7;ESTADO_DESCONOCIDO;;;Tragacete;0;ESTADO_DESCONOCIDO
413;40.35348384364552;-1.8292748810574018;Tragacete;;;7;ESTADO_DESCONOCIDO;;;Tragacete;0;ESTADO_DESCONOCIDO
202;40.55992337544874;0.3338664216591801;Traiguera;1O03AA01MVCR;l/m<sup>2</sup>;8;ESTADO_DESCONOCIDO;0.0;;Traiguera;0;ESTADO_DESCONOCIDO
77;40.41744669305117;-1.5772741090628828;Tramacastilla;;;6;ESTADO_DESCONOCIDO;;;Tramacastilla;0;ESTADO_DESCONOCIDO
296;40.41744669305117;-1.5772741090628828;Tramacastilla;3A02DQG1MVVR;m³/s;6;ESTADO_DESCONOCIDO;0.775;;Tramacastilla;0;ESTADO_DESCONOCIDO
409;40.41744669305117;-1.5772741090628828;Tramacastilla;;;6;ESTADO_DESCONOCIDO;;;Tramacastilla;0;ESTADO_DESCONOCIDO
566;39.15224524468218;-0.5889156868071037;Tunel de la Escala;;;4;ESTADO_DESCONOCIDO;;;Alzira;0;ESTADO_DESCONOCIDO
74;40.25337875285349;-0.818182987048437;Valbona;2P02AA01MVCR;l/m<sup>2</sup>;0;ESTADO_DESCONOCIDO;0.0;;Valbona;0;ESTADO_DESCONOCIDO
84;40.29856320070874;-1.4115655164646173;Valdecuenca;3N03BA01MVCR;l/m<sup>2</sup>;6;ESTADO_DESCONOCIDO;0.0;;Valdecuenca;0;ESTADO_DESCONOCIDO
71;40.381668533564834;-0.6374243976889497;Valdelinares;2N04BA02MVCR;l/m<sup>2</sup>;0;ESTADO_DESCONOCIDO;0.0;;Valdelinares;0;ESTADO_DESCONOCIDO
544;40.381668533564834;-0.6374243976889497;Valdelinares;;;0;ESTADO_DESCONOCIDO;;;Valdelinares;0;ESTADO_DESCONOCIDO
509;39.47633772307672;-0.35786933907635554;Valencia;0S01AA01MVCR;l/m<sup>2</sup>;5;ESTADO_DESCONOCIDO;0.0;;Valencia;0;ESTADO_DESCONOCIDO
54;40.197538990983276;-0.07950269123167185;Vall d'Alba;1O01AA01MVCR;l/m<sup>2</sup>;0;ESTADO_DESCONOCIDO;0.0;;Vall d'Alba;0;ESTADO_DESCONOCIDO
290;40.197538990983276;-0.07950269123167185;Vall d'Alba;1O01DQG1MVVR;m³/s;0;ESTADO_DESCONOCIDO;9.062;;Vall d'Alba;0;ESTADO_DESCONOCIDO
198;38.81902575866454;-0.08718600824253048;Vall de Gallinera;9P05AA01MVCR;l/m<sup>2</sup>;9;ESTADO_DESCONOCIDO;0.0;;Vall de Gallinera;0;ESTADO_DESCONOCIDO
190;38.782234272035886;-0.1053737875663363;Vall de Laguart- Isbert;9O01AA01MVCR;l/m<sup>2</sup>;9;ESTADO_DESCONOCIDO;0.0;;Vall de Laguart;0;ESTADO_DESCONOCIDO
169;38.85895154033208;-0.6712304254049621;Vallada-Serra Grossa;;;4;ESTADO_DESCONOCIDO;;;Vallada;0;ESTADO_DESCONOCIDO
520;40.091037341351786;-0.06008137237437495;Vilafamés;1P07AA01MVCR;l/m<sup>2</sup>;0;ESTADO_DESCONOCIDO;0.0;;Vilafamés;0;ESTADO_DESCONOCIDO
30;39.59322700977059;-0.6424384697044393;Vilamarxant;0O03AA01MVCR;l/m<sup>2</sup>;5;ESTADO_DESCONOCIDO;0.0;;Vilamarxant;0;ESTADO_DESCONOCIDO
282;39.59322700977059;-0.6424384697044393;Vilamarxant;0O03DQG0MVVR;m³/s;5;ESTADO_DESCONOCIDO;24.589;;Vilamarxant;0;ESTADO_DESCONOCIDO
76;40.614192239809846;-0.976151381565944;Villalba Alta;3A01AA01MVCR;l/m<sup>2</sup>;6;ESTADO_DESCONOCIDO;0.0;;Perales de Alfambra;0;ESTADO_DESCONOCIDO
295;40.614192239809846;-0.976151381565944;Villalba Alta;3A01DQG1MVVR;m³/s;6;ESTADO_DESCONOCIDO;1.215;;Perales de Alfambra;0;ESTADO_DESCONOCIDO
156;39.36364555223265;-1.6036972634258848;Villamalea;7P02AA01MVCR;l/m<sup>2</sup>;1;ESTADO_DESCONOCIDO;0.0;;Villamalea;0;ESTADO_DESCONOCIDO
149;39.06568941523292;-0.5170966182609701;Villanueva  de Castellón;7O06AA01MVCR;l/m<sup>2</sup>;4;ESTADO_DESCONOCIDO;0.0;;Villanueva de Castellon;0;ESTADO_DESCONOCIDO
110;39.340120502907396;-1.343427027639085;Villatoya;5O01AA01MVCR;l/m<sup>2</sup>;1;ESTADO_DESCONOCIDO;0.0;;Villatoya;0;ESTADO_DESCONOCIDO
513;40.51633619004202;0.1601800396655157;Xert;1P03AA01MVCR;l/m<sup>2</sup>;8;ESTADO_DESCONOCIDO;0.0;;Xert;0;ESTADO_DESCONOCIDO
114;39.842368726803116;-1.144932764903764;Zagra;6A01AA01MVCR;l/m<sup>2</sup>;6;ESTADO_DESCONOCIDO;0.0;;Tuéjar;0;ESTADO_DESCONOCIDO
309;39.842368726803116;-1.144932764903764;Zagra;6A01DQG1MVVR;m³/s;6;ESTADO_DESCONOCIDO;9.247;;Tuéjar;0;ESTADO_DESCONOCIDO
94;40.26173029945068;-2.1358613392117367;Zarzuela;4N01BA01MVCR;l/m<sup>2</sup>;7;ESTADO_DESCONOCIDO;0.0;;Zarzuela;0;ESTADO_DESCONOCIDO
